P,rest,pscale,name
"(-2.173140048980713, 6.640850067138672, 1.448951244354248)","(-2.173140048980713, 6.640850067138672, 1.448951244354248)",1.7951897382736206,piece_0
"(2.3525052070617676, 9.718220710754395, -0.9819090962409973)","(2.3525052070617676, 9.718220710754395, -0.9819090962409973)",1.0557914972305298,piece_1
"(-0.02959734946489334, 17.579648971557617, -5.090138912200928)","(-0.02959734946489334, 17.579648971557617, -5.090138912200928)",1.0731265544891357,piece_2
"(3.0380001068115234, 8.189972877502441, 1.310733437538147)","(3.0380001068115234, 8.189972877502441, 1.310733437538147)",1.224806547164917,piece_3
"(0.8864566087722778, 9.07955551147461, 6.46555757522583)","(0.8864566087722778, 9.07955551147461, 6.46555757522583)",1.8376878499984741,piece_4
"(-3.0380001068115234, 10.670721054077148, 4.908337593078613)","(-3.0380001068115234, 10.670721054077148, 4.908337593078613)",1.0815250873565674,piece_5
"(-0.11668363213539124, 24.08005714416504, -5.995912551879883)","(-0.11668363213539124, 24.08005714416504, -5.995912551879883)",1.3589998483657837,piece_6
"(0.6182363629341125, 6.7547454833984375, 4.299551010131836)","(0.6182363629341125, 6.7547454833984375, 4.299551010131836)",1.2721490859985352,piece_7
"(-3.0380001068115234, 15.545873641967773, -0.9545458555221558)","(-3.0380001068115234, 15.545873641967773, -0.9545458555221558)",0.8867489099502563,piece_8
"(1.121935248374939, 15.96987533569336, 4.486740589141846)","(1.121935248374939, 15.96987533569336, 4.486740589141846)",1.8793580532073975,piece_9
"(-3.0380001068115234, 23.849346160888672, -2.7781102657318115)","(-3.0380001068115234, 23.849346160888672, -2.7781102657318115)",1.210737705230713,piece_10
"(-3.0380001068115234, 17.503509521484375, -1.791553258895874)","(-3.0380001068115234, 17.503509521484375, -1.791553258895874)",1.4687693119049072,piece_11
"(-2.541929244995117, 20.215450286865234, 1.3386671543121338)","(-2.541929244995117, 20.215450286865234, 1.3386671543121338)",1.0457279682159424,piece_12
"(-0.6314207315444946, 26.221363067626953, -4.273709774017334)","(-0.6314207315444946, 26.221363067626953, -4.273709774017334)",1.9481089115142822,piece_13
"(1.8294707536697388, 8.289203643798828, 5.430993556976318)","(1.8294707536697388, 8.289203643798828, 5.430993556976318)",1.719976544380188,piece_14
"(3.0380001068115234, 9.828027725219727, 2.575665235519409)","(3.0380001068115234, 9.828027725219727, 2.575665235519409)",1.6529316902160645,piece_15
"(1.3819504976272583, 6.082192420959473, 1.9706382751464844)","(1.3819504976272583, 6.082192420959473, 1.9706382751464844)",1.5341269969940186,piece_16
"(3.0380001068115234, 19.223560333251953, -4.95850944519043)","(3.0380001068115234, 19.223560333251953, -4.95850944519043)",1.0932565927505493,piece_17
"(-3.0380001068115234, 17.276994705200195, -5.074517726898193)","(-3.0380001068115234, 17.276994705200195, -5.074517726898193)",0.7384536266326904,piece_18
"(2.57098388671875, 11.008033752441406, -1.4488105773925781)","(2.57098388671875, 11.008033752441406, -1.4488105773925781)",1.2465039491653442,piece_19
"(-3.0380001068115234, 20.178386688232422, -0.8549885749816895)","(-3.0380001068115234, 20.178386688232422, -0.8549885749816895)",1.8291237354278564,piece_20
"(2.862774610519409, 8.861896514892578, -0.21217483282089233)","(2.862774610519409, 8.861896514892578, -0.21217483282089233)",1.3461742401123047,piece_21
"(-3.0380001068115234, 16.038286209106445, 2.677095890045166)","(-3.0380001068115234, 16.038286209106445, 2.677095890045166)",1.2708985805511475,piece_22
"(-0.7125698328018188, 8.751177787780762, 7.44189453125)","(-0.7125698328018188, 8.751177787780762, 7.44189453125)",1.1222343444824219,piece_23
"(-1.8689923286437988, 10.76009750366211, -1.9373421669006348)","(-1.8689923286437988, 10.76009750366211, -1.9373421669006348)",0.6853365898132324,piece_24
"(2.48483943939209, 5.155493259429932, 2.3221917152404785)","(2.48483943939209, 5.155493259429932, 2.3221917152404785)",1.0049513578414917,piece_25
"(-3.0380001068115234, 16.831012725830078, -3.423863649368286)","(-3.0380001068115234, 16.831012725830078, -3.423863649368286)",1.1241567134857178,piece_26
"(2.030195951461792, 21.671756744384766, 1.12571120262146)","(2.030195951461792, 21.671756744384766, 1.12571120262146)",1.5460546016693115,piece_27
"(1.4443721771240234, 17.742589950561523, 2.1509079933166504)","(1.4443721771240234, 17.742589950561523, 2.1509079933166504)",0.6048864722251892,piece_28
"(-3.0380001068115234, 24.10968017578125, -2.0715720653533936)","(-3.0380001068115234, 24.10968017578125, -2.0715720653533936)",1.7155838012695312,piece_29
"(0.9312269687652588, 21.24968147277832, -7.358100891113281)","(0.9312269687652588, 21.24968147277832, -7.358100891113281)",0.7636991739273071,piece_30
"(0.571251630783081, 5.509779930114746, 0.7430522441864014)","(0.571251630783081, 5.509779930114746, 0.7430522441864014)",0.6163276433944702,piece_31
"(-3.0380001068115234, 21.39310646057129, -4.4002790451049805)","(-3.0380001068115234, 21.39310646057129, -4.4002790451049805)",0.6473590731620789,piece_32
"(1.0120729207992554, 24.736934661865234, -4.342416763305664)","(1.0120729207992554, 24.736934661865234, -4.342416763305664)",1.2584154605865479,piece_33
"(0.7331083416938782, 21.305891036987305, 0.4543016254901886)","(0.7331083416938782, 21.305891036987305, 0.4543016254901886)",0.7628587484359741,piece_34
"(-0.9114842414855957, 8.421662330627441, 5.567610263824463)","(-0.9114842414855957, 8.421662330627441, 5.567610263824463)",1.7488969564437866,piece_35
